(рамка 40х50)|200009097|no|common||elasticsearch|--query="рамка 40 на 50" --max-product=35000|presets/bucket_444|preset=200009097|()
(пилотка военная детская)|200000307|no|common||elasticsearch|--query="пилотка военная детская" --max-product=35000|presets/bucket_384|preset=200000307|()
(кнопки для одежды)|200009660|no|common||elasticsearch|--query="кнопки для одежды" --max-product=35000|presets/bucket_220|preset=200009660|()
(игрушки 18+)|200009905|no|common||elasticsearch|--context-subject="мягкие игрушки" --query="игрушки 18+" --max-product=35000|presets/bucket_217|preset=200009905|()
(кеды женские)|200010108|no|common||elasticsearch|--context-subject="кеды" --query="кеды женские" --max-product=35000|presets/bucket_139|preset=200010108|()
(белье для беременных)|200010121|no|common||elasticsearch|--context-subject="комплекты белья" --query="белье для беременных" --max-product=35000|presets/bucket_273|preset=200010121|()
(шлепанцы мужские)|200010249|no|common||elasticsearch|--context-subject="шлепанцы" --query="шлепанцы мужские" --max-product=35000|presets/bucket_24|preset=200010249|()
(майка женская спортивная)|200010330|no|common||elasticsearch|--context-subject="майки спортивные" --query="майка женская спортивная" --max-product=35000|presets/bucket_17|preset=200010330|()
(tommy hilfiger женщинам)||no|common||||brands_search1|brand=1876;20253;39905&kind=0;2|()
(сумка кросс)|200010444|no|common||elasticsearch|--context-subject="сумки" --query="сумка кросс" --max-product=35000|presets/bucket_25|preset=200010444|()
(дельфиниум)|200010642|no|common||elasticsearch|--query="дельфиниум" --max-product=35000|presets/bucket_220|preset=200010642|()
(befree женщинам)|200002206|no|common||elasticsearch|--context-brand="befree" --context-subject="одежда" --query="befree женщинам" --max-product=35000|presets/bucket_223|preset=200002206|()
(коньки женские)|200002263|no|common||elasticsearch|--query="коньки женские" --max-product=35000|presets/bucket_229|preset=200002263|()
(шлепанцы мужские adidas)|200002352|no|common||elasticsearch|--query="шлепанцы мужские adidas" --max-product=35000|presets/bucket_220|preset=200002352|()
(вафельная картинка на торт)|200002380|no|common||elasticsearch|--context-subject="декор для выпечки" --query="вафельная картинка на торт" --max-product=35000|presets/bucket_30|preset=200002380|()
(щелочь)|200002397|no|common||elasticsearch|--query="щелочь" --max-product=35000|presets/bucket_225|preset=200002397|()
(мандала раскраска)|200002581|no|common||elasticsearch|--query="мандала раскраска" --max-product=35000|presets/bucket_321|preset=200002581|()
(белье для кормления)|200002618|no|common||elasticsearch|--context-subject="комплекты белья" --query="белье для кормления" --max-product=35000|presets/bucket_228|preset=200002618|()
(майка сетка)|200002634|no|common||elasticsearch|--query="майка сетка" --max-product=35000|presets/bucket_17|preset=200002634|()
(брюки женские большие размеры)|200002796|no|common||elasticsearch|--context-subject="брюки" --query="брюки женские большие размеры" --max-product=35000|presets/bucket_572|preset=200002796|()
(synergetic для пола)|200002923|no|common||elasticsearch|--query="synergetic для пола" --max-product=35000|presets/bucket_591|preset=200002923|()
(игорь рызов)|200002958|no|common||elasticsearch|--query="игорь рызов" --max-product=35000|presets/bucket_182|preset=200002958|()
(подушка 40х40)|200003090|no|common||elasticsearch|--query="подушка 40*40" --max-product=35000|presets/bucket_224|preset=200003090|()
(майка алкоголичка женская)|200003219|no|common||elasticsearch|--query="майка алкоголичка женская" --max-product=35000|presets/bucket_273|preset=200003219|()
(комплект боди)|200003256|no|common||elasticsearch|--context-subject="боди" --query="комплект боди" --max-product=35000|presets/bucket_17|preset=200003256|()
(гипс скульптурный)|200003304|no|common||elasticsearch|--query="гипс скульптурный" --max-product=35000|presets/bucket_346|preset=200003304|()
(пепельница с крышкой)|200003314|no|common||elasticsearch|--context-subject="пепельница" --query="пепельница с крышкой" --max-product=35000|presets/bucket_499|preset=200003314|()
(бескаркасное автокресло)|200003373|no|common||elasticsearch|--query="бескаркасное автокресло" --max-product=35000|presets/bucket_253|preset=200003373|()
(стул ikea)|200003408|no|common||elasticsearch|--context-subject="стул" --query="стул ikea" --max-product=35000 --context-brand="ikea"|presets/bucket_85|preset=200003408|()
(чистка дивана)|200003529|no|common||elasticsearch|--query="чистка дивана" --max-product=35000|presets/bucket_218|preset=200003529|()
(eos)|200003535|no|common||elasticsearch|--query="eos" --max-product=35000|presets/bucket_218|preset=200003535|()
(товары 18+)|200003687|no|common||elasticsearch|--query="товары 18+" --max-product=35000|presets/bucket_183|preset=200003687|()
(боди спортивное)|200003743|no|common||elasticsearch|--context-subject="боди" --query="боди спортивное" --max-product=35000|presets/bucket_275|preset=200003743|()
(ты станешь бабушкой)|200003767|no|common||elasticsearch|--query="ты станешь бабушкой" --max-product=35000|presets/bucket_116|preset=200003767|()
