(тест:одежда для мужчин с)|77007081|no|common||elasticsearch|--query="тест одежда для мужчин"|presets/bucket_222|preset=77007081|()
(женская одежда меню)|1111|no|common||women-clothes|--limit=200000 --country ru --timeoutBetweenRequests 30ms|presets/women_clothes|preset=1111|()
(книги меню)|1113|no|common||books-menu|--limit=200000 --country ru --timeoutBetweenRequests 30ms|presets/women_clothes|preset=1113|()
(пуховик)|1007|no|common||catalog|--one-by-one-join "http://wbxcatalog-ru.wildberries.ru/outwear/catalog?subject=174;4532" "http://wbxcatalog-ru.wildberries.ru/outwear/catalog?subject=168;170;1641;4510;4509&season=50;52" @sort: --apply-self-ranker-sales=false --apply-self-ranker-views=false|presets/top100_3|preset=1007|()
(женские кожаные куртки)||no|common||kind_item||outwear|subject=168;1641;2110&kind=0;2|()
(джинсы женские с высокой посадкой)|10170310|no|common||elasticsearch|--context-subject="джинсы" --query="джинсы женские для высоких"|presets/bucket_224|preset=10170310|()
(спортивные брюки женские)|10000115|no|common||elasticsearch|--context-subject="брюки спортивные" --query="спортивные брюки женские"|presets/bucket_131|preset=10000115&kind=0;2|()
(смарт часы)|10169428|no|common||elasticsearch|--context-subject="смарт-часы" --query="смарт час"|presets/bucket_199|preset=10169428|()
(акула одежда для девочек)|10000233|no|common||elasticsearch|--context-subject="одежда" --query="акула одежда для девочек"|presets/bucket_555|preset=10000233&kind=3;5|()
(спортивная сумка)|10000405|no|common||elasticsearch|--context-subject="сумка спортивная" --query="спортивная сумка"|presets/bucket_592|preset=10000405|()
(наполнитель)|10001182|no|common||elasticsearch|--query="наполнитель"|presets/bucket_391|preset=10001182|()
(сумка дорожная)|10109433|no|common||elasticsearch|--query="сумка для переезда"|presets/bucket_3|preset=10109433|()
(куртка кожаная косуха женская)|10091256|no|common||elasticsearch|--context-subject="косуха" --query="кожаная косуха"|presets/bucket_226|preset=10091256|()
(кофты)||no|common||||jumpers_cardigans|subject=161;233;2572;3644;3999;4609;4611;4612;4613;4614;4616;4618;4637;4639;4646;215;160;163;159;191;4639;158|()
(обувь ортопедическая женская)||no|common||kind_item||shealth|subject=33;93;94;95;97;98;99;100;101;102;103;104;105;106;107;109;232;238;283;318;337;343;391;396;749;1025;1658;1664;1716;2400;2411;2771;2772;2793;2956&ext=226851&kind=0;2|()
(детские кроссовки для девочки)|10179219|no|common||elasticsearch|--context-subject="кроссовки" --query="кроссовки для девочек для детей"|presets/bucket_294|preset=10179219|()
(куртки джинсовые мужские)||no|common||kind_item||outwear|subject=168;4509&kind=1|()
(сушилка для овощей и фруктов)|10000729|no|common||elasticsearch|--query="сушилка для овощей и фруктов"|presets/bucket_666|preset=10000729|()
